# book_id,user_id,checkout,checkin
62,John_Davis,1/4/2023 12:26,1/10/2023 12:26
384,Alex_Davis,2/2/2023 14:23,2/8/2023 14:23
161,Michael_Martinez,2/20/2023 11:58,2/26/2023 11:58
467,Sarah_Davis,1/14/2023 10:32,1/15/2023 10:32
514,Sarah_Jones,1/19/2023 12:15,1/28/2023 12:15
413,Laura_Hernandez,1/26/2023 10:11,2/5/2023 10:11
754,Michael_Brown,1/7/2023 12:00,1/11/2023 12:00
976,Chris_Brown,1/30/2023 16:14,2/8/2023 16:14
797,Jane_Brown,1/4/2023 15:13,1/12/2023 15:13
458,Alex_Williams,2/4/2023 9:42,2/18/2023 9:42
609,Chris_Garcia,2/10/2023 9:15,2/24/2023 9:15
907,Chris_Brown,1/31/2023 10:35,2/7/2023 10:35
923,Sarah_Smith,1/20/2023 12:29,1/24/2023 12:29
901,Alex_Brown,1/29/2023 13:02,2/5/2023 13:02
257,Emily_Johnson,1/4/2023 15:21,1/18/2023 15:21
743,Alex_Miller,1/25/2023 11:05,1/28/2023 11:05
971,Laura_Garcia,1/2/2023 12:29,1/14/2023 12:29
86,David_Miller,1/20/2023 12:32,1/22/2023 12:32
36,John_Williams,1/20/2023 16:48,2/2/2023 16:48
926,Laura_Williams,1/15/2023 14:02,1/16/2023 14:02
61,Sarah_Martinez,1/1/2023 15:27,1/12/2023 15:27
703,Laura_Brown,1/16/2023 11:55,1/29/2023 11:55
884,Alex_Jones,2/27/2023 16:43,3/6/2023 16:43
317,Chris_Garcia,1/18/2023 14:22,1/20/2023 14:22
595,Michael_Hernandez,2/10/2023 10:07,2/14/2023 10:07
346,Michael_Johnson,2/18/2023 13:53,2/28/2023 13:53
179,John_Garcia,1/22/2023 11:09,1/31/2023 11:09
947,Laura_Garcia,2/27/2023 14:17,3/2/2023 14:17
146,Chris_Garcia,1/10/2023 9:49,1/17/2023 9:49
504,Chris_Smith,2/5/2023 13:09,2/18/2023 13:09
562,Sarah_Miller,2/1/2023 11:59,2/3/2023 11:59
657,Emily_Davis,2/16/2023 11:53,2/18/2023 11:53
44,John_Jones,1/26/2023 14:28,1/31/2023 14:28
648,Michael_Miller,2/15/2023 16:19,2/20/2023 16:19
388,Laura_Jones,1/17/2023 9:10,1/22/2023 9:10
150,Sarah_Williams,2/9/2023 14:16,2/18/2023 14:16
590,Katie_Smith,1/13/2023 11:34,1/24/2023 11:34
616,Chris_Miller,2/15/2023 13:09,2/18/2023 13:09
499,Katie_Hernandez,2/3/2023 10:38,2/8/2023 10:38
276,Michael_Brown,3/1/2023 16:51,3/2/2023 16:51
812,Chris_Smith,2/1/2023 13:39,2/2/2023 13:39
832,John_Davis,2/14/2023 10:27,2/24/2023 10:27
727,Katie_Davis,1/17/2023 15:49,1/25/2023 15:49
465,Sarah_Garcia,2/25/2023 11:05,3/9/2023 11:05
762,Jane_Davis,1/8/2023 15:10,1/13/2023 15:10
717,Jane_Johnson,2/4/2023 13:57,2/15/2023 13:57
684,Katie_Garcia,2/3/2023 9:54,2/5/2023 9:54
491,Emily_Miller,1/6/2023 10:06,1/7/2023 10:06
890,Katie_Smith,1/21/2023 16:52,1/22/2023 16:52
925,David_Brown,2/3/2023 15:42,2/8/2023 15:42
1,Jane_Davis,2/7/2023 11:08,2/16/2023 11:08
21,Jane_Martinez,2/16/2023 16:36,2/20/2023 16:36
556,John_Miller,1/16/2023 10:35,1/21/2023 10:35
401,Katie_Garcia,1/1/2023 15:13,1/12/2023 15:13
580,Sarah_Brown,1/23/2023 11:46,2/1/2023 11:46
412,Laura_Williams,2/22/2023 13:45,3/8/2023 13:45
72,Michael_Hernandez,1/1/2023 11:07,1/2/2023 11:07
145,Michael_Garcia,2/2/2023 15:43,2/13/2023 15:43
787,Michael_Garcia,1/11/2023 13:47,1/16/2023 13:47
463,Alex_Jones,2/5/2023 15:16,2/8/2023 15:16
463,Laura_Martinez,1/20/2023 11:27,1/26/2023 11:27
64,Laura_Garcia,2/4/2023 16:30,2/16/2023 16:30
541,Sarah_Garcia,1/24/2023 15:49,2/7/2023 15:49
9,Michael_Garcia,2/24/2023 16:17,3/10/2023 16:17
106,Emily_Smith,1/13/2023 10:20,1/21/2023 10:20
973,Jane_Brown,2/26/2023 11:33,3/7/2023 11:33
772,Michael_Martinez,1/14/2023 10:07,1/28/2023 10:07
321,Emily_Davis,1/22/2023 16:42,2/5/2023 16:42
10,Chris_Garcia,1/10/2023 9:01,1/11/2023 9:01
260,Sarah_Williams,1/8/2023 10:26,1/20/2023 10:26
909,David_Johnson,2/12/2023 10:37,2/18/2023 10:37
795,Michael_Williams,1/22/2023 16:56,2/1/2023 16:56
943,Emily_Martinez,1/20/2023 12:07,2/3/2023 12:07
41,John_Smith,3/1/2023 11:51,3/10/2023 11:51
723,Katie_Jones,1/5/2023 16:21,1/11/2023 16:21
749,Chris_Johnson,1/23/2023 13:18,1/25/2023 13:18
201,Chris_Smith,1/14/2023 15:43,1/16/2023 15:43
680,Emily_Brown,2/15/2023 15:53,3/1/2023 15:53
