timestamp|cc|market_account|product_desc|cost|shipping_address|cc_billing_address,,,,,,
2023-10-01 13:27:58|1663061945050598|cockyJaguar4|scooter-hiboy-medium|220.0|208 Waterford Drive, , Lynn Haven FL, 32444|15 Lakewood Drive, , Thunderbolt GA,31410
2023-10-03 22:51:20|5155888342826221|cockyJaguar4|scooter-niu-medium|692.0|202 Deer Run Trail, , Manchester CT, 06042|4331 Foeburn Lane, , Louisville KY,40207
2023-10-04 12:19:46|9532787622249755|cockyJaguar4|shirt-magenta-xlarge|461.0|11941 West 58th Avenue, , Arvada CO, 80002|8595 North 71st Avenue, #1, Glendale AZ,85301
2023-10-05 03:24:06|0366833506124230|cockyJaguar4|sock-yellow-small|980.0|2708 Riverview Drive, , Riva MD, 21140|185 Longview Road, , West Tisbury MA,2568
2023-10-05 05:32:33|2749858276144389|cockyJaguar4|tv-tcl-55|950.0|1478 Sharps Point Road, , Annapolis MD, 21409|4525 West Frier Drive, , Glendale AZ,85301
2023-10-05 15:12:40|0466557075511783|cockyJaguar4|shirt-red-medium|692.0|5611 North 61st Avenue, , Glendale AZ, 85301|1842 West Park Place, , Oklahoma City OK,73106
2023-10-06 12:22:25|7446343875792329|cockyJaguar4|shirt-violet-large|631.0|3517 S Street Northwest, , Washington DC, 20007|4308 Princess Lane, , Nashville TN,37218
2023-10-10 03:34:29|7059442498504216|cockyJaguar4|scooter-hiboy-small|188.0|1309 Southwest 71st Terrace, , Oklahoma City OK, 73159|5843 West McLellan Road, , Glendale AZ,85301
2023-10-10 22:39:23|1502822297773224|cockyJaguar4|sock-red-medium|172.0|607 North 46th Avenue, , Fayetteville AR, 72704|4 Eastview Lane, , Savannah GA,31410
2023-10-11 03:26:26|1589191265816282|cockyJaguar4|coat-blue-large|746.0|6604 West Montebello Avenue, #8, Glendale AZ, 85301|302 Black Sky Lane, , Pasadena MD,21122
2023-10-12 21:57:32|7974448031894100|cockyJaguar4|car-gm-suv|819.0|4303 Ashleycreek Court, , Louisville KY, 40241|1124 Bluewillow Court, , Nashville TN,37013
2023-10-13 00:30:24|9135691437021982|awedAbalone6|tie-blue-kipper-large|430.0|714 East 33rd Street, , Savannah GA, 31401|98 Lee Drive, , Annapolis MD,21403
2023-10-14 17:27:09|4197816941413231|cockyJaguar4|bike-specialized-medium|275.0|2909 Minnesota Avenue, , Lynn Haven FL, 32444|2220 Kirk Avenue, , Nashville TN,37218
2023-10-16 12:44:23|8212694115230183|cockyJaguar4|pants-green-medium|735.0|1515 Northwest 19th Street, , Oklahoma City OK, 73106|11985 West 56th Drive, , Arvada CO,80002
2023-10-18 18:51:15|3588688002836240|cockyJaguar4|scooter-gotrax-large|317.0|2278 North Windswept Lane, , Fayetteville AR, 72703|503 Orchard Road, , Glen Burnie MD,21061
2023-10-22 05:21:07|6478984335766320|cockyJaguar4|ebike-velotric-large|585.0|3517 S Street Northwest, , Washington DC, 20007|189 Dalton Avenue, , Pittsfield MA,1201
2023-10-22 13:33:26|4907284882115882|cockyJaguar4|sock-magenta-large|101.0|1318 35th Street Northwest, , Washington DC, 20007|9306 Taylorsville Road, , Louisville KY,40299
2023-10-22 22:01:16|9390257764426197|cockyJaguar4|vest-orange-large|589.0|4604 Virginia Loop Road, , Montgomery AL, 36116|1309 Columbia Road Northwest, , Washington DC,20009
2023-10-22 23:48:29|4024786961849329|cockyJaguar4|computer-mac-4|18.0|707 Pinkston Street, , Montgomery AL, 36109|798 Airport Road, , Panama City FL,32405
2023-10-23 10:42:45|2388023776972642|mildCod2|sock-blue-xlarge|501.0|425 Buckhalter Road, , Savannah GA, 31405|235 Hugh Thomas Drive, , Panama City FL,32404
2023-10-29 09:57:11|4435195935298447|cockyJaguar4|scooter-gotrax-xlarge|806.0|7034 West John Garrison Road, , Fayetteville AR, 72704|36043 Soapberry Commons, , Fremont CA,94536
2023-10-29 12:06:25|3674849417673792|cockyJaguar4|computer-mac-128|308.0|512 North Center Avenue, , Panama City FL, 32401|402 Tuten Avenue, , Savannah GA,31415
2023-10-30 11:27:52|9946230285958082|cockyJaguar4|pants-violet-large|908.0|180 Center Street, , Manchester CT, 06040|93 Marble Hill Road, , Waitsfield VT,5673
2023-10-31 11:53:24|9155995357255401|cockyJaguar4|car-mazda-truck|752.0|6821 Northwest 25th Street, , Bethany OK, 73008|208 Southeast 19th Street, , Oklahoma City OK,73129
2023-10-31 21:19:42|9658608318218381|cockyJaguar4|pants-blue-xlarge|856.0|7701 West Saint John Road, #2010, Glendale AZ, 85308|6145 East Castro Valley Boulevard, , Castro Valley CA,94552
